bootstrap_index,mean_setting_tv_vs_ideal,raw_energy_hartree,projected_energy_hartree,raw_energy_error_millihartree,projected_energy_error_millihartree,raw_gamma_frobenius_error,projected_gamma_frobenius_error,raw_idempotency_frobenius,one_spin_slater_fidelity,full_rhf_determinant_fidelity
56,0.014741512237427859,-1.9517953106687969,-1.9465318399253795,-5.053684212487752,0.20978653092962318,0.021261825231841457,0.019742828880629493,0.007916935834020578,0.999805116478202,0.9996102709359911
57,0.017700933611663604,-1.955775656730191,-1.9454608268893183,-9.034030273881832,1.2807995669907868,0.04306703759042447,0.03993911014020675,0.01587408879274649,0.9992024589096764,0.9984055538911436
58,0.021178232229573865,-1.9391034178204356,-1.9455575151924112,7.6382086358735,1.1841112638979467,0.047324553512596186,0.04522568200836594,0.014018196041217358,0.9989773647995039,0.9979557753817612
59,0.023186187506453338,-1.9431312772648932,-1.94610916446502,3.610349191415896,0.6324619912891905,0.03343447773778237,0.033284074903011836,0.003716997444174479,0.999446085213165,0.9988924772479211
60,0.02602312033231039,-1.9633208418771886,-1.945812034584203,-16.57921542087948,0.9295918721061724,0.045946301698010616,0.038131819684770404,0.02630018581683406,0.9992729828997304,0.998546494353325
61,0.019788969268151938,-1.9404477103094597,-1.9457678445384745,6.2939161468493765,0.973781917834593,0.03948926023396609,0.03422012677591711,0.019793483548885455,0.9994144923771944,0.9988293275735651
62,0.020026810150417018,-1.9324943584157637,-1.946342248768145,14.247268040545435,0.39937768816411534,0.03185373319721983,0.025735545023586572,0.01851153270261539,0.999668841513823,0.9993377926935889
63,0.028184976838034753,-1.931719323160639,-1.9459343691974318,15.022303295670003,0.8072572588773141,0.03752743173364736,0.035430266944643345,0.012736767329271518,0.9993724370653854,0.9987452679660076
64,0.018275816132287077,-1.9529452559399905,-1.946044746068092,-6.203629483681361,0.6968803882170249,0.03433303744624156,0.03232781255551997,0.011549517522390248,0.9994775021098321,0.9989552772237095
65,0.017069246637989137,-1.927082176903166,-1.946321607645445,19.659449553143027,0.42001881086406456,0.029335444994105113,0.02529500398659462,0.014933274130276907,0.9996800815547982,0.9993602654574079
66,0.014246797673153837,-1.9582346721003094,-1.946342279107604,-11.493045644000333,0.3993473487051702,0.03305832804488883,0.027350636360410078,0.018642929276269846,0.9996259921032807,0.9992521240884683
67,0.01924451817510603,-1.9465528438460569,-1.9452230270977322,0.18878261025223608,1.5185993585768998,0.0430037687465431,0.042704153451781725,0.004741990721205635,0.9990882372573673,0.9981773058260334
68,0.0228214102029178,-1.9598145579228594,-1.9463973148385116,-13.072931466550308,0.3443116177974659,0.027312642493932903,0.02317513870558261,0.01439162569864859,0.999731472502788,0.9994630171125929
69,0.015439815904166517,-1.9394283895433089,-1.945945508668123,7.313236913000232,0.7961177881861126,0.038590042779359755,0.036154433768178305,0.013612633029653019,0.9993464476942999,0.9986933225192162
70,0.021263657014504177,-1.9428548021186323,-1.9449219387962768,3.886824337676842,1.8196876600322653,0.05288450772794131,0.04885728396419602,0.02057546014673792,0.998806625636826,0.9976146754160227
71,0.0197728515669317,-1.970652696966736,-1.9458488064175985,-23.911070510426846,0.8928200387106067,0.04839095224055909,0.04085947594397767,0.025833398968196256,0.9991653922205588,0.998331481011263
