bootstrap_index,mean_setting_tv_vs_ideal,raw_energy_hartree,projected_energy_hartree,raw_energy_error_millihartree,projected_energy_error_millihartree,raw_gamma_frobenius_error,projected_gamma_frobenius_error,raw_idempotency_frobenius,one_spin_slater_fidelity,full_rhf_determinant_fidelity
47,0.02367379062718261,-1.940732188944042,-1.943142679412784,6.009437512267013,3.598947043525147,0.06834503071385026,0.06501577082758091,0.022212228568966215,0.997886630410852,0.9957777271527244
48,0.027001857861888967,-1.9166652655016303,-1.9439983137967831,30.076360954678805,2.743312659525987,0.06297203097486705,0.057700537982054795,0.026256680107165097,0.9983353727268455,0.9966735164376495
49,0.01940420810417781,-1.9487657389890856,-1.9451476877134974,-2.0241125327764564,1.5939387428116625,0.046849474983521364,0.04583939084279663,0.009074996969696464,0.9989494703543366,0.9979000443212096
50,0.024063676048672558,-1.9066849648498916,-1.9442407738499312,40.05666160641752,2.50085260637789,0.0648046192920759,0.06010251647263213,0.025910666490848916,0.998193856808097,0.9963909757694237
51,0.020844728149853872,-1.9609190682505881,-1.9445781983038335,-14.177441794279044,2.1634281524756105,0.05994096345666247,0.05459690101009597,0.023383193756414046,0.9985096737166723,0.9970215685057754
52,0.018305674551899326,-1.938674040714856,-1.945080321789091,8.067585741453165,1.6613046672180332,0.04377757367506979,0.043241902914515386,0.007387793378269313,0.9990652791836424,0.9981314320702893
53,0.029733644537179353,-1.9264840936320364,-1.9446993406503725,20.257532824272673,2.0422858059365723,0.061657888799108204,0.060418711041721335,0.013858075407501547,0.9981751785968983,0.9963536871669498
54,0.027826518072076707,-1.9395338470481265,-1.9434161623128656,7.207779408182624,3.3254641434434795,0.06620126708999853,0.06487214275949221,0.013863049889905148,0.9978959985175853,0.9957964238574085
55,0.017910174734346397,-1.928040533683182,-1.946583065760054,18.701092773127037,0.1585606962550834,0.01809333039778409,0.013342815615011739,0.01223819105301108,0.9999109855632202,0.9998219790500104
56,0.027387607383945453,-1.9572792497590037,-1.9434992535185438,-10.537623302694588,3.242372937765303,0.06407857718711284,0.06100812384650059,0.0185817963071389,0.9981394154268176,0.9962822926285891
57,0.027184843041499956,-1.935164142770727,-1.944109549088507,11.577483685582202,2.6320773678021325,0.05648731577749925,0.05567994036071276,0.010546040785527056,0.9984503480456952,0.9969030975125699
58,0.030261427594503062,-1.9244748442369344,-1.944248828623765,22.266782219374726,2.4927978325441913,0.062413423534198056,0.061063353117490116,0.015097642175187536,0.998135650062746,0.9962747759261804
59,0.02281571091521619,-1.9270077801950733,-1.9451526149298661,19.733846261235755,1.5890115264429738,0.04874035890191699,0.04458224165129545,0.020684993328497818,0.9990062118743065,0.9980134113634518
60,0.020174189316348096,-1.9169048667186173,-1.9450552483930343,29.836759737691843,1.6863780632747627,0.04955435212372632,0.04465044671930339,0.02235334749539762,0.9990031914055787,0.9980073764385313
61,0.028309676343493198,-1.9344439497608332,-1.9443743635879407,12.297676695475879,2.367262868368414,0.05899672732662642,0.05248663081791184,0.026863693458830298,0.9986230347336272,0.9972479655005992
62,0.02679175264481449,-1.9129054465551667,-1.9417014856593255,33.8361799011424,5.040140796983561,0.0807265041512952,0.07618047555950867,0.029214061207747118,0.9970992626433989,0.9942069395640097
63,0.030487977076451997,-1.9143502299472768,-1.9446634006358587,32.39139650903233,2.0782258204503634,0.05363012349347275,0.04794657881182273,0.024667460975949632,0.9988508116301719,0.9977029438942531
64,0.018357661387675563,-1.9651665141651165,-1.946003905473347,-18.424887708807347,0.7377209829622089,0.03667725869842532,0.029356925016892486,0.022055498679467603,0.9995690859227596,0.9991383575324612
65,0.02368694376308697,-1.9269557048603343,-1.946234725707283,19.78592159597481,0.5069007490261512,0.031414738835706814,0.026500532499591244,0.016950135287070633,0.9996488789991244,0.9992978812842059
66,0.027438091588201326,-1.9090079007579124,-1.9453555788841912,37.733725698396725,1.38604757211791,0.05670157879658155,0.05155083632745836,0.02453034345458699,0.9986716968684624,0.997345158126134
67,0.03584720607409847,-1.9169063998035039,-1.9394979339139666,29.835226652805247,7.2436925423424725,0.09712787918713531,0.09535808386832564,0.02126130000729019,0.9954550317334624,0.9909307202034686
68,0.017672285234542874,-1.9555876551031737,-1.9453662641628628,-8.846028646864568,1.3753622934462584,0.04070122595801765,0.03912895129956091,0.010610997608613431,0.9992345307345171,0.9984696474122305
69,0.02180574249341293,-1.9437359863729424,-1.943423164479274,3.0056400833666785,3.3184619770350032,0.06465965616336439,0.06073162535166789,0.02278683097756242,0.9981562563763402,0.9963159121432302
70,0.034438910688156354,-1.918614502640241,-1.9443926148871646,28.127123816068078,2.3490115691444657,0.05732631980549104,0.051869725894713,0.024984936061555135,0.9986552003989498,0.9973122092838667
71,0.02127503961455046,-1.9605572690607713,-1.946305182304562,-13.81564260446222,0.43644415174703965,0.03605359589914499,0.023272609133828025,0.02780553938067014,0.9997292065274904,0.9994584863840856
