bootstrap_index,raw_energy_hartree,projected_energy_hartree,raw_energy_error_millihartree,projected_energy_error_millihartree,raw_gamma_frobenius_error,projected_gamma_frobenius_error
991.0,-1.1166862624395542,-1.1166666993772636,-0.0018753542132543544,0.017687708077307462,0.003959797974644936,0.003959751408363841
992.0,-1.1166888099551633,-1.1166426735363713,-0.004422869822384712,0.0417135489696463,0.006081118318204071,0.006080949666443263
993.0,-1.1166918885021948,-1.1166136417462815,-0.007501416853905596,0.07074533905937486,0.007919595949289598,0.00791922344167385
994.0,-1.116687152275992,-1.1166583070605602,-0.002765190651121685,0.026080024780661404,0.00480832611206874,0.004808242738183721
995.0,-1.1166935820618678,-1.1165976719298318,-0.00919497652684953,0.08671515550906506,0.00876812408671293,0.008767618566877092
996.0,-1.1166854419720855,-1.1166744376368816,-0.0010548867446225074,0.00994944845933432,0.0029698484809832513,0.002969828835659351
997.0,-1.1166906087643071,-1.1166257098287384,-0.006221678966245037,0.058677256602468475,0.00721248916810254,0.007212207791743921
998.0,-1.1166935820618678,-1.1165976719298318,-0.00919497652684953,0.08671515550906506,0.0087681240867134,0.008767618566877564
999.0,-1.116715473951872,-1.1163913044079337,-0.031086866531193635,0.2930826774072415,0.01612203461105304,0.016118892836354558
1000.0,-1.1166868365275784,-1.1166612849557955,-0.002449442237484334,0.023102129545371497,0.004525483399594112,0.00452541389000794
1001.0,-1.116691622986484,-1.1166161455563817,-0.007235901143154422,0.06824152895923419,0.007778174593052226,0.007777821685957921
1002.0,-1.1166888099551633,-1.1166426735363713,-0.004422869822384712,0.0417135489696463,0.006081118318204071,0.006080949666443263
1003.0,-1.1166850783830031,-1.1166778668925197,-0.0006912976622253098,0.0065201928212133,0.002404163056034036,0.0024041526340650046
1004.0,-1.116696108049176,-1.1165738539295171,-0.01172096383506016,0.11053315582376655,0.00989949493661144,0.009898767415823627
1005.0,-1.11670376255617,-1.1165016883093277,-0.019375470829086083,0.1826987760131793,0.012727922061357632,0.012726375942341266
1006.0,-1.1166913622548393,-1.1166186042706423,-0.006975169498435463,0.06578281469860059,0.007636753236814461,0.007636419230388242
1007.0,-1.1166913622548393,-1.1166186042706423,-0.006975169498435463,0.06578281469860059,0.007636753236814461,0.007636419230388242
1008.0,-1.1166916229864836,-1.1166161455563817,-0.007235901142710333,0.06824152895923419,0.007778174593051755,0.00777782168595745
1009.0,-1.1166847315381547,-1.116681138253988,-0.00034445281382744497,0.0032488313528311608,0.0016970562748479198,0.001697052609220065
1010.0,-1.1167112639730243,-1.1164309807889419,-0.02687688768343577,0.253406296399028,0.01499066376115461,0.014988137967793844
1011.0,-1.1166957755565283,-1.1165769889691313,-0.011388471187423477,0.1073981162096338,0.009758073580374145,0.009757376793247159
1012.0,-1.1166888099551633,-1.1166426735363713,-0.004422869822384712,0.0417135489696463,0.006081118318204071,0.006080949666443263
1013.0,-1.1166852506094105,-1.1166762425039796,-0.0008635240695831214,0.008144581361335668,0.002687005768509134,0.0026869912185085464
1014.0,-1.116688408093546,-1.1166464634159432,-0.004021008205068455,0.0379236693976992,0.0057982756057294435,0.005798129408558621
1015.0,-1.1166929984057092,-1.1166031755675867,-0.008611320368334674,0.08121151775419833,0.008485281374238342,0.008484823211652644
1016.0,-1.1166863987854598,-1.1166654134443954,-0.002011700118931259,0.018973640945496584,0.00410121933088223,0.00410116759512436
1017.0,-1.116692158801973,-1.1166110928413335,-0.007771716632021253,0.07329424400737139,0.00806101730552642,0.008060624484818039
1018.0,-1.1166954478479476,-1.1165800789284126,-0.011060762606707186,0.10430815692830109,0.009616652224136811,0.009615985292804014
1019.0,-1.1166868365275788,-1.116661284955796,-0.002449442237928423,0.023102129544927408,0.0045254833995936414,0.004525413890007469
1020.0,-1.1166871522759925,-1.1166583070605602,-0.0027651906515657743,0.026080024780661404,0.004808326112068269,0.00480824273818325
1021.0,-1.1166916229864836,-1.1166161455563817,-0.007235901142710333,0.06824152895923419,0.007778174593051755,0.00777782168595745
1022.0,-1.1167092738012063,-1.1164497385006698,-0.024886715865424236,0.2346485846711488,0.014424978336205787,0.014422727778941765
1023.0,-1.1166843966534739,-1.1166842968396078,-9.568132952608721e-06,9.024573310867368e-05,0.0002828427124748234,0.00028284269550424995
1024.0,-1.1166873173262992,-1.116656750443835,-0.002930240958320951,0.027636641505957016,0.004949747468305562,0.004949656519573966
1025.0,-1.1166890180620719,-1.1166407109366858,-0.0046309767309793415,0.04367614865508074,0.006222539674441365,0.006222358980926251
1026.0,-1.1167083074196982,-1.1164588471841386,-0.023920334357274697,0.2255399012023318,0.014142135623731199,0.01414001485123012
1027.0,-1.1166890180620723,-1.1166407109366858,-0.004630976731423431,0.04367614865508074,0.006222539674441836,0.006222358980926722
1028.0,-1.1166852506094105,-1.1166762425039796,-0.0008635240695831214,0.008144581361335668,0.002687005768508663,0.0026869912185080755
1029.0,-1.1166848559238938,-1.1166799650724801,-0.0004688385528694994,0.004422012860771929,0.0019798989873220756,0.0019798931664486603
1030.0,-1.1166849252928635,-1.116679310799927,-0.0005382075225490723,0.005076285413796455,0.002121320343559841,0.002121313184145112
1031.0,-1.1166845401754801,-1.1166829431564809,-0.0001530901392321482,0.0014439288600343048,0.0011313708498982729,0.0011313697637841044
1032.0,-1.1166860040999427,-1.1166691358949157,-0.0016170146017735476,0.015251190425225047,0.0036769552621703093,0.0036769179784950107
1033.0,-1.1166843894773737,-1.1166843645239055,-2.3920327940629704e-06,2.2561435386592166e-05,0.00014142135623752944,0.00014142135411623238
1034.0,-1.1167117734761471,-1.116426178799975,-0.027386390806238836,0.2582082853659351,0.015132085117392374,0.015129487177098583
1035.0,-1.1166851621041736,-1.1166770772582368,-0.0007750188326660634,0.007309827104062805,0.0025455844122718404,0.002545572040835175
1036.0,-1.1166847315381547,-1.116681138253988,-0.00034445281382744497,0.0032488313528311608,0.0016970562748479198,0.001697052609220065
1037.0,-1.1166849252928635,-1.116679310799927,-0.0005382075225490723,0.005076285413796455,0.0021213203435593696,0.002121313184144641
1038.0,-1.1166906087643071,-1.1166257098287384,-0.006221678966245037,0.058677256602468475,0.00721248916810254,0.007212207791743921
1039.0,-1.1166844253578754,-1.1166840261025532,-3.8272534474970143e-05,0.0003609827876616123,0.0005656854249489794,0.0005656852891844476
1040.0,-1.1166846765213863,-1.116681657162478,-0.00028943604535314194,0.0027299228628763217,0.0015556349186101547,0.0015556320951416631
1041.0,-1.1166967873866716,-1.1165674486142714,-0.01240030133065062,0.1169384710695276,0.010182337649086498,0.010181545976529389
1042.0,-1.1166853438987148,-1.1166753626300787,-0.0009568133738646623,0.009024455262185427,0.002828427124745957,0.0028284101543585246
1043.0,-1.1166847315381547,-1.116681138253988,-0.00034445281382744497,0.0032488313528311608,0.0016970562748479198,0.001697052609220065
1044.0,-1.1166843966534743,-1.1166842968396078,-9.568133396697931e-06,9.024573310867368e-05,0.00028284271247435236,0.0002828426955037789
1045.0,-1.1166844468861763,-1.1166838230499039,-5.9800835394696605e-05,0.0005640354370228806,0.0007071067811867444,0.0007071065160219317
1046.0,-1.116704633256341,-1.116493480435599,-0.020246171000160018,0.1909066497418621,0.01301076477383222,0.013009113288226183
1047.0,-1.1166957755565283,-1.1165769889691313,-0.011388471187423477,0.1073981162096338,0.009758073580374145,0.009757376793247159
1048.0,-1.1166944934266065,-1.1165890783121108,-0.010106341265636587,0.09530877323005171,0.009192388155424851,0.00919180565140224
1049.0,-1.1166873173262992,-1.116656750443835,-0.002930240958320951,0.027636641505957016,0.004949747468305562,0.004949656519573966
1050.0,-1.1166851621041736,-1.1166770772582368,-0.0007750188326660634,0.007309827104062805,0.0025455844122718404,0.002545572040835175
1051.0,-1.1166929984057092,-1.1166031755675867,-0.008611320368334674,0.08121151775419833,0.008485281374238813,0.008484823211653114
1052.0,-1.1166974858604353,-1.1165608629928214,-0.013098775094366744,0.12352409251947805,0.010465180361561124,0.01046432087322949
1053.0,-1.1166894486280903,-1.1166366504214027,-0.005061542749373871,0.04773666393820264,0.006505382386916502,0.006505175917365745
1054.0,-1.1166843870853405,-1.11668438708534,4.440892098500626e-13,8.881784197001252e-13,2.9373740229761033e-16,4.577566798522237e-16
1055.0,-1.116725436771132,-1.1162974295083021,-0.04104968579099477,0.3869575770387712,0.01852619766708731,0.018521430859007152
1056.0,-1.1166849252928635,-1.116679310799927,-0.0005382075225490723,0.005076285413796455,0.002121320343559841,0.002121313184145112
1057.0,-1.1166996960993298,-1.1165400243969672,-0.015309013988940023,0.14436268837370037,0.011313708498985007,0.011312622562505651
1058.0,-1.1166844731985437,-1.1166835748746067,-8.611320279072743e-05,0.0008122107342245499,0.0008485281374236458,0.0008485276792189762
1059.0,-1.1166851621041736,-1.1166770772582368,-0.0007750188326660634,0.007309827104062805,0.0025455844122713694,0.002545572040834704
1060.0,-1.1167004711181625,-1.11653271765785,-0.016084032821606087,0.15166942749100798,0.011596551211459123,0.011595381786431132
1061.0,-1.116694184854294,-1.1165919879380017,-0.00979776895304596,0.09239914733916166,0.009050966799188029,0.009050410766622415
1062.0,-1.116684504294979,-1.1166832815767602,-0.00011720963799533024,0.0011055085806788156,0.0009899494936614107,0.0009899487660493921
1063.0,-1.1166892309530478,-1.1166387032314313,-0.004843867706938454,0.04568385390957275,0.00636396103067913,0.006363767735474296
1064.0,-1.1167396526258409,-1.1161635249419914,-0.05526554049994914,0.5208621433494542,0.02149604614807127,0.02148860092158236
1065.0,-1.1166846262886838,-1.1166821309491795,-0.00023920334291105405,0.0022561361614492625,0.0014142135623733318,0.0014142114410583848
1066.0,-1.1166844253578754,-1.1166840261025532,-3.8272534474970143e-05,0.0003609827876616123,0.0005656854249489794,0.0005656852891844476
1067.0,-1.1167143927527587,-1.1164014935841684,-0.03000566741784283,0.2828935011724987,0.015839191898578884,0.0158362125616429
1068.0,-1.1166845808400487,-1.1166825596139036,-0.00019375470783344895,0.0018274714372878975,0.001272792206136038,0.0012727906596967987
1069.0,-1.116715473951872,-1.1163913044079337,-0.031086866531193635,0.2930826774072415,0.01612203461105304,0.016118892836354558
1070.0,-1.1166871522759925,-1.1166583070605602,-0.0027651906515657743,0.026080024780661404,0.004808326112068269,0.00480824273818325
1071.0,-1.1167360765358545,-1.1161972045575084,-0.051689450513592305,0.48718252783253035,0.020788939366884758,0.02078220470317981
1072.0,-1.1167128068345908,-1.1164164397620415,-0.028419749249941617,0.26794732329937787,0.01541492782986653,0.015412181501379244
1073.0,-1.1166863987854598,-1.1166654134443954,-0.002011700118931259,0.018973640945496584,0.004101219330881759,0.004101167595123889
1074.0,-1.1166852506094105,-1.1166762425039796,-0.0008635240695831214,0.008144581361335668,0.002687005768508663,0.0026869912185080755
1075.0,-1.11669013035762,-1.116630221370896,-0.005743272279090661,0.054165714444831536,0.006929646455628423,0.006929396899890114
1076.0,-1.1166996960993294,-1.1165400243969672,-0.015309013988495934,0.14436268837370037,0.011313708498984535,0.011312622562505181
1077.0,-1.1167128068345908,-1.1164164397620415,-0.028419749249941617,0.26794732329937787,0.01541492782986653,0.015412181501379244
1078.0,-1.1166860040999427,-1.1166691358949161,-0.0016170146017735476,0.015251190424780958,0.0036769552621698388,0.00367691797849454
1079.0,-1.1166873173262992,-1.116656750443835,-0.002930240958320951,0.027636641505957016,0.004949747468306033,0.0049496565195744375
1080.0,-1.1166848559238938,-1.1166799650724801,-0.0004688385528694994,0.004422012860771929,0.0019798989873225465,0.0019798931664491313
1081.0,-1.116693287841755,-1.1166004462935208,-0.008900756414131905,0.08394079182005854,0.008626702730476107,0.00862622127734256
1082.0,-1.1166944934266065,-1.1165890783121108,-0.010106341265636587,0.09530877323005171,0.009192388155424851,0.00919180565140224
1083.0,-1.1166860040999427,-1.1166691358949161,-0.0016170146017735476,0.015251190424780958,0.0036769552621698388,0.00367691797849454
1084.0,-1.1166856524710282,-1.1166724522940852,-0.0012653856873434677,0.011934791255718835,0.0032526911934578785,0.0032526653837059412
1085.0,-1.1166868365275784,-1.1166612849557955,-0.002449442237484334,0.023102129545371497,0.004525483399594112,0.00452541389000794
1086.0,-1.1166848559238938,-1.1166799650724801,-0.0004688385528694994,0.004422012860771929,0.0019798989873220756,0.0019798931664486603
1087.0,-1.116704195514222,-1.1164976068969166,-0.019808428881162854,0.1867801884243292,0.012869343417595398,0.0128677451939918
1088.0,-1.1167000812167127,-1.1165363935595387,-0.01569413137181286,0.1479935258021925,0.011455129855222299,0.01145400268965826
1089.0,-1.1166846765213863,-1.116681657162478,-0.00028943604535314194,0.0027299228628763217,0.001555634918610626,0.0015556320951421341
1090.0,-1.116693881066047,-1.1165948524776201,-0.009493980706043459,0.08953460772076482,0.008909545442950695,0.008909015067542513
1091.0,-1.1167092738012063,-1.1164497385006698,-0.024886715865424236,0.2346485846711488,0.014424978336205315,0.014422727778941295
1092.0,-1.1166853438987148,-1.1166753626300787,-0.0009568133738646623,0.009024455262185427,0.002828427124746428,0.0028284101543589956
1093.0,-1.1167194088468735,-1.1163542246840863,-0.035021761532583184,0.33016240125460783,0.017111984104714685,0.017108227477089056
1094.0,-1.1166848559238938,-1.1166799650724801,-0.0004688385528694994,0.004422012860771929,0.0019798989873225465,0.0019798931664491313
